device_name,device_mac,stem,mode,gt_mud,n_flows,first_correct_at,stable_correct_from,final_prediction,final_correct,unique_remote_ip_count,hostname_resolution_count,hostname_resolution_rate,hostname_resolved_flow_count,hostname_flow_resolution_rate,method,method_label,evidence_label
AmazonEcho,44:65:0d:56:cc:d3,AmazonEcho_44650d56ccd3__exact,exact,amazonEchoMud_compact,50000,4.0,4.0,amazonEchoMud_compact,True,45,27,0.6,14358,0.28716,exact,Exact tuple,filename_name_and_mac_map
AugustDoorBell,e0:76:d0:3f:00:ae,AugustDoorBell_e076d03f00ae__exact,exact,augustdoorbellcamMud_compact,50000,1.0,7.0,augustdoorbellcamMud_compact,True,129,125,0.9689922480620154,21117,0.42234,exact,Exact tuple,verified_product_alias
AwairAirQuality,70:88:6b:10:0f:c6,AwairAirQuality_70886b100fc6__exact,exact,awairAirQualityMud_compact,4401,13.0,37.0,awairAirQualityMud_compact,True,227,224,0.986784140969163,1431,0.3251533742331288,exact,Exact tuple,filename_name_map
BelkinCamera,b4:75:0e:ec:e5:a9,BelkinCamera_b4750eece5a9__exact,exact,belkincameraMud_compact,50000,1237.0,1237.0,belkincameraMud_compact,True,46,18,0.391304347826087,290,0.0058,exact,Exact tuple,filename_name_map
BelkinWemoMotionSensor,ec:1a:59:83:28:11,BelkinWemoMotionSensor_ec1a59832811__exact,exact,wemomotionMud_compact,50000,19.0,19.0,wemomotionMud_compact,True,12,2,0.1666666666666666,2476,0.04952,exact,Exact tuple,verified_name_alias_mac_map
BelkinWemoSwitch,ec:1a:59:79:f4:89,BelkinWemoSwitch_ec1a5979f489__exact,exact,wemoswitchMud_compact,50000,,,wemomotionMud_compact,False,14,3,0.2142857142857142,3821,0.07642,exact,Exact tuple,verified_name_alias_mac_map
BlipCareBPMeter,74:6a:89:00:2e:25,BlipCareBPMeter_746a89002e25__exact,exact,blipcareBPmeterMud_compact,48,4.0,4.0,blipcareBPmeterMud_compact,True,3,1,0.3333333333333333,10,0.2083333333333333,exact,Exact tuple,filename_name_and_mac_map
CanaryCamera,7c:70:bc:5d:5e:dc,CanaryCamera_7c70bc5d5edc__exact,exact,canaryCameraMud_compact,6562,7.0,7.0,canaryCameraMud_compact,True,82,79,0.9634146341463414,6446,0.982322462663822,exact,Exact tuple,filename_name_map
HPPrinter,70:5a:0f:e4:9b:c0,HPPrinter_705a0fe49bc0__exact,exact,hpprinterMud_compact,7922,17.0,17.0,hpprinterMud_compact,True,30,15,0.5,1389,0.1753345114869982,exact,Exact tuple,filename_name_and_mac_map
HelloBarbie,28:c2:dd:ff:a5:2d,HelloBarbie_28c2ddffa52d__exact,exact,hellobarbieMud_compact,143,4.0,4.0,hellobarbieMud_compact,True,30,28,0.9333333333333332,87,0.6083916083916084,exact,Exact tuple,filename_name_map
LiFXBulb,d0:73:d5:01:83:08,LiFXBulb_d073d5018308__exact,exact,lifxbulbMud_compact,50000,1.0,1.0,lifxbulbMud_compact,True,868,862,0.9930875576036866,18491,0.36982,exact,Exact tuple,filename_name_and_mac_map
NestDropCam,30:8c:fb:2f:e4:b2,NestDropCam_308cfb2fe4b2__exact,exact,dropcamMud_compact,2087,60.0,60.0,dropcamMud_compact,True,53,48,0.9056603773584906,527,0.2525155725922376,exact,Exact tuple,filename_name_and_mac_map
NestProtect,18:b4:30:25:be:e4,NestProtect_18b43025bee4__exact,exact,nestsmokesensorMud_compact,50000,4.0,4.0,nestsmokesensorMud_compact,True,30,26,0.8666666666666667,484,0.00968,exact,Exact tuple,filename_name_and_mac_map
NetatmoWeatherStation,70:ee:50:03:b8:ac,NetatmoWeatherStation_70ee5003b8ac__exact,exact,NetatmoWeatherStationMud_compact,50000,4.0,4.0,NetatmoWeatherStationMud_compact,True,18,16,0.8888888888888888,12356,0.24712,exact,Exact tuple,filename_name_and_mac_map
NetatmoWelcome,70:ee:50:18:34:43,NetatmoWelcome_70ee50183443__exact,exact,NetatmoCameraMud_compact,50000,1.0,1.0,NetatmoCameraMud_compact,True,121,111,0.9173553719008264,40431,0.80862,exact,Exact tuple,verified_name_alias_mac_map
PhilipsHue,00:17:88:2b:9a:25,PhilipsHue_0017882b9a25__exact,exact,HueBulbMud_compact,50000,113.0,113.0,HueBulbMud_compact,True,27,16,0.5925925925925926,9042,0.18084,exact,Exact tuple,verified_product_alias
PixStarPhotoFrame,e0:76:d0:33:bb:85,PixStarPhotoFrame_e076d033bb85__exact,exact,pixstarphotoframeMud_compact,10760,1.0,1.0,pixstarphotoframeMud_compact,True,11,2,0.1818181818181818,1072,0.099628252788104,exact,Exact tuple,filename_name_and_mac_map
RingDoorBell,88:4a:ea:31:66:9d,RingDoorBell_884aea31669d__exact,exact,ringdoorbellMud_compact,1100,4.0,4.0,ringdoorbellMud_compact,True,37,32,0.8648648648648649,134,0.1218181818181818,exact,Exact tuple,filename_name_map
SamsungCamera,00:16:6c:ab:6b:88,SamsungCamera_00166cab6b88__exact,exact,samsungsmartcamMud_compact,50000,1.0,1.0,samsungsmartcamMud_compact,True,79,65,0.8227848101265823,6548,0.13096,exact,Exact tuple,filename_name_and_mac_map
SamsungSmartThings,d0:52:a8:00:67:5e,SamsungSmartThings_d052a800675e__exact,exact,SmartThingsMud_compact,42895,1.0,1.0,SmartThingsMud_compact,True,1161,1158,0.9974160206718348,14607,0.3405291992073668,exact,Exact tuple,verified_name_alias_mac_map
TPLinkCamera,f4:f2:6d:93:51:f1,TPLinkCamera_f4f26D9351f1__exact,exact,tplinkcameraMud_compact,19317,3.0,3.0,tplinkcameraMud_compact,True,95,83,0.8736842105263158,9825,0.5086193508308744,exact,Exact tuple,filename_name_and_mac_map
TPLinkSmartPlug,50:c7:bf:00:56:39,TPLinkSmartPlug_50c7bf005639__exact,exact,tplinkplugMud_compact,12809,1.0,1.0,tplinkplugMud_compact,True,157,152,0.9681528662420382,11206,0.8748536185494574,exact,Exact tuple,filename_name_and_mac_map
TribySpeaker,18:b7:9e:02:20:44,TribySpeaker_18B79E022044__exact,exact,tribyspeakerMud_compact,50000,176.0,176.0,tribyspeakerMud_compact,True,135,130,0.9629629629629628,33184,0.66368,exact,Exact tuple,filename_name_and_mac_map
WithingsBabyMonitor,00:24:e4:11:18:a8,WithingsBabyMonitor_0024e41118a8__exact,exact,withingsbabymonitorMud_compact,11239,2.0,2.0,withingsbabymonitorMud_compact,True,7,4,0.5714285714285714,5583,0.4967523801049915,exact,Exact tuple,filename_name_and_mac_map
WithingsSleepSensor,00:24:e4:20:28:c6,WithingsSleepSensor_0024e42028c6__exact,exact,withingssleepsensorMud_compact,41207,6.0,6.0,withingssleepsensorMud_compact,True,23,17,0.7391304347826086,20279,0.4921251243720727,exact,Exact tuple,filename_name_and_mac_map
WithingsSmartScale,00:24:e4:1b:6f:96,WithingsSmartScale_0024e41b6f96__exact,exact,withingscardioMud_compact,1279,,,withingssleepsensorMud_compact,False,5,2,0.4,273,0.2134480062548866,exact,Exact tuple,filename_name_and_mac_map
iHome,74:c6:3b:29:d7:1d,iHome_74c63b29d71d__exact,exact,ihomepowerplugMud_compact,50000,1.0,1.0,ihomepowerplugMud_compact,True,47,42,0.8936170212765957,49657,0.99314,exact,Exact tuple,filename_name_and_mac_map
AmazonEcho,44:65:0d:56:cc:d3,AmazonEcho_44650d56ccd3__semantic,semantic,amazonEchoMud_compact,50000,1.0,,chromecastUltraMud_compact,False,45,27,0.6,14358,0.28716,semantic_w256,ACE-level MaxSim,filename_name_and_mac_map
AugustDoorBell,e0:76:d0:3f:00:ae,AugustDoorBell_e076d03f00ae__semantic,semantic,augustdoorbellcamMud_compact,50000,1.0,1.0,augustdoorbellcamMud_compact,True,129,125,0.9689922480620154,21117,0.42234,semantic_w256,ACE-level MaxSim,verified_product_alias
AwairAirQuality,70:88:6b:10:0f:c6,AwairAirQuality_70886b100fc6__semantic,semantic,awairAirQualityMud_compact,4401,10.0,10.0,awairAirQualityMud_compact,True,227,224,0.986784140969163,1431,0.3251533742331288,semantic_w256,ACE-level MaxSim,filename_name_map
BelkinCamera,b4:75:0e:ec:e5:a9,BelkinCamera_b4750eece5a9__semantic,semantic,belkincameraMud_compact,50000,1.0,8.0,belkincameraMud_compact,True,46,18,0.391304347826087,290,0.0058,semantic_w256,ACE-level MaxSim,filename_name_map
BelkinWemoMotionSensor,ec:1a:59:83:28:11,BelkinWemoMotionSensor_ec1a59832811__semantic,semantic,wemomotionMud_compact,50000,4.0,4.0,wemomotionMud_compact,True,12,2,0.1666666666666666,2476,0.04952,semantic_w256,ACE-level MaxSim,verified_name_alias_mac_map
BelkinWemoSwitch,ec:1a:59:79:f4:89,BelkinWemoSwitch_ec1a5979f489__semantic,semantic,wemoswitchMud_compact,50000,,,wemomotionMud_compact,False,14,3,0.2142857142857142,3821,0.07642,semantic_w256,ACE-level MaxSim,verified_name_alias_mac_map
BlipCareBPMeter,74:6a:89:00:2e:25,BlipCareBPMeter_746a89002e25__semantic,semantic,blipcareBPmeterMud_compact,48,4.0,16.0,blipcareBPmeterMud_compact,True,3,1,0.3333333333333333,10,0.2083333333333333,semantic_w256,ACE-level MaxSim,filename_name_and_mac_map
CanaryCamera,7c:70:bc:5d:5e:dc,CanaryCamera_7c70bc5d5edc__semantic,semantic,canaryCameraMud_compact,6562,8.0,8.0,canaryCameraMud_compact,True,82,79,0.9634146341463414,6446,0.982322462663822,semantic_w256,ACE-level MaxSim,filename_name_map
HPPrinter,70:5a:0f:e4:9b:c0,HPPrinter_705a0fe49bc0__semantic,semantic,hpprinterMud_compact,7922,1.0,1.0,hpprinterMud_compact,True,30,15,0.5,1389,0.1753345114869982,semantic_w256,ACE-level MaxSim,filename_name_and_mac_map
HelloBarbie,28:c2:dd:ff:a5:2d,HelloBarbie_28c2ddffa52d__semantic,semantic,hellobarbieMud_compact,143,4.0,4.0,hellobarbieMud_compact,True,30,28,0.9333333333333332,87,0.6083916083916084,semantic_w256,ACE-level MaxSim,filename_name_map
LiFXBulb,d0:73:d5:01:83:08,LiFXBulb_d073d5018308__semantic,semantic,lifxbulbMud_compact,50000,1.0,1.0,lifxbulbMud_compact,True,868,862,0.9930875576036866,18491,0.36982,semantic_w256,ACE-level MaxSim,filename_name_and_mac_map
NestDropCam,30:8c:fb:2f:e4:b2,NestDropCam_308cfb2fe4b2__semantic,semantic,dropcamMud_compact,2087,1.0,63.0,dropcamMud_compact,True,53,48,0.9056603773584906,527,0.2525155725922376,semantic_w256,ACE-level MaxSim,filename_name_and_mac_map
NestProtect,18:b4:30:25:be:e4,NestProtect_18b43025bee4__semantic,semantic,nestsmokesensorMud_compact,50000,2.0,4.0,nestsmokesensorMud_compact,True,30,26,0.8666666666666667,484,0.00968,semantic_w256,ACE-level MaxSim,filename_name_and_mac_map
NetatmoWeatherStation,70:ee:50:03:b8:ac,NetatmoWeatherStation_70ee5003b8ac__semantic,semantic,NetatmoWeatherStationMud_compact,50000,4.0,4.0,NetatmoWeatherStationMud_compact,True,18,16,0.8888888888888888,12356,0.24712,semantic_w256,ACE-level MaxSim,filename_name_and_mac_map
NetatmoWelcome,70:ee:50:18:34:43,NetatmoWelcome_70ee50183443__semantic,semantic,NetatmoCameraMud_compact,50000,1.0,1.0,NetatmoCameraMud_compact,True,121,111,0.9173553719008264,40431,0.80862,semantic_w256,ACE-level MaxSim,verified_name_alias_mac_map
PhilipsHue,00:17:88:2b:9a:25,PhilipsHue_0017882b9a25__semantic,semantic,HueBulbMud_compact,50000,2.0,4542.0,HueBulbMud_compact,True,27,16,0.5925925925925926,9042,0.18084,semantic_w256,ACE-level MaxSim,verified_product_alias
PixStarPhotoFrame,e0:76:d0:33:bb:85,PixStarPhotoFrame_e076d033bb85__semantic,semantic,pixstarphotoframeMud_compact,10760,1.0,1.0,pixstarphotoframeMud_compact,True,11,2,0.1818181818181818,1072,0.099628252788104,semantic_w256,ACE-level MaxSim,filename_name_and_mac_map
RingDoorBell,88:4a:ea:31:66:9d,RingDoorBell_884aea31669d__semantic,semantic,ringdoorbellMud_compact,1100,4.0,4.0,ringdoorbellMud_compact,True,37,32,0.8648648648648649,134,0.1218181818181818,semantic_w256,ACE-level MaxSim,filename_name_map
SamsungCamera,00:16:6c:ab:6b:88,SamsungCamera_00166cab6b88__semantic,semantic,samsungsmartcamMud_compact,50000,1.0,8337.0,samsungsmartcamMud_compact,True,79,65,0.8227848101265823,6548,0.13096,semantic_w256,ACE-level MaxSim,filename_name_and_mac_map
SamsungSmartThings,d0:52:a8:00:67:5e,SamsungSmartThings_d052a800675e__semantic,semantic,SmartThingsMud_compact,42895,1.0,36459.0,SmartThingsMud_compact,True,1161,1158,0.9974160206718348,14607,0.3405291992073668,semantic_w256,ACE-level MaxSim,verified_name_alias_mac_map
TPLinkCamera,f4:f2:6d:93:51:f1,TPLinkCamera_f4f26D9351f1__semantic,semantic,tplinkcameraMud_compact,19317,2.0,2.0,tplinkcameraMud_compact,True,95,83,0.8736842105263158,9825,0.5086193508308744,semantic_w256,ACE-level MaxSim,filename_name_and_mac_map
TPLinkSmartPlug,50:c7:bf:00:56:39,TPLinkSmartPlug_50c7bf005639__semantic,semantic,tplinkplugMud_compact,12809,1.0,1.0,tplinkplugMud_compact,True,157,152,0.9681528662420382,11206,0.8748536185494574,semantic_w256,ACE-level MaxSim,filename_name_and_mac_map
TribySpeaker,18:b7:9e:02:20:44,TribySpeaker_18B79E022044__semantic,semantic,tribyspeakerMud_compact,50000,1.0,1.0,tribyspeakerMud_compact,True,135,130,0.9629629629629628,33184,0.66368,semantic_w256,ACE-level MaxSim,filename_name_and_mac_map
WithingsBabyMonitor,00:24:e4:11:18:a8,WithingsBabyMonitor_0024e41118a8__semantic,semantic,withingsbabymonitorMud_compact,11239,2.0,2.0,withingsbabymonitorMud_compact,True,7,4,0.5714285714285714,5583,0.4967523801049915,semantic_w256,ACE-level MaxSim,filename_name_and_mac_map
WithingsSleepSensor,00:24:e4:20:28:c6,WithingsSleepSensor_0024e42028c6__semantic,semantic,withingssleepsensorMud_compact,41207,7.0,7.0,withingssleepsensorMud_compact,True,23,17,0.7391304347826086,20279,0.4921251243720727,semantic_w256,ACE-level MaxSim,filename_name_and_mac_map
WithingsSmartScale,00:24:e4:1b:6f:96,WithingsSmartScale_0024e41b6f96__semantic,semantic,withingscardioMud_compact,1279,,,withingssleepsensorMud_compact,False,5,2,0.4,273,0.2134480062548866,semantic_w256,ACE-level MaxSim,filename_name_and_mac_map
iHome,74:c6:3b:29:d7:1d,iHome_74c63b29d71d__semantic,semantic,ihomepowerplugMud_compact,50000,1.0,1.0,ihomepowerplugMud_compact,True,47,42,0.8936170212765957,49657,0.99314,semantic_w256,ACE-level MaxSim,filename_name_and_mac_map
